"zip","city","county","population"
62924,"De Soto","Jackson County",3168
62216,"Aviston","Clinton County",3156
61020,"Davis Junction","Ogle County",3149
61085,"Stockton","Jo Daviess County",3149
61273,"Orion","Henry County",3120
62264,"New Athens","St. Clair County",3097
62281,"Saint Jacob","Madison County",3059
61277,"Prophetstown","Whiteside County",3054
61517,"Brimfield","Peoria County",3033
62275,"Pocahontas","Bond County",3012
61531,"Farmington","Fulton County",3007
62694,"Winchester","Scott County",3006
61422,"Bushnell","McDonough County",3002
60520,"Hinckley","DeKalb County",2979
62097,"Worden","Madison County",2973
61434,"Galva","Henry County",2971
61956,"Villa Grove","Douglas County",2960
62920,"Cobden","Union County",2959
62939,"Goreville","Johnson County",2958
62449,"Oblong","Crawford County",2951
62664,"Mason City","Mason County",2922
62069,"Mount Olive","Macoupin County",2897
62550,"Moweaqua","Shelby County",2858
62952,"Jonesboro","Union County",2852
62417,"Bridgeport","Lawrence County",2848
61753,"Lexington","McLean County",2833
62288,"Steeleville","Randolph County",2820
62869,"Norris City","White County",2795
61046,"Lanark","Carroll County",2794
61250,"Erie","Whiteside County",2781
62428,"Greenup","Cumberland County",2777
61529,"Elmwood","Peoria County",2763
62884,"Sesser","Franklin County",2758
61540,"Lacon","Marshall County",2753
61537,"Henry","Marshall County",2743
61285,"Thomson","Carroll County",2728
62670,"New Berlin","Sangamon County",2682
61011,"Caledonia","Boone County",2676
61748,"Hudson","McLean County",2675
61736,"Downs","McLean County",2673
62442,"Martinsville","Clark County",2671
62320,"Camp Point","Adams County",2667
62903,"Carbondale","Jackson County",2666
61858,"Oakwood","Vermilion County",2639
62938,"Golconda","Pope County",2622
61842,"Farmer City","De Witt County",2620
62922,"Creal Springs","Williamson County",2608
61284,"Taylor Ridge","Rock Island County",2599
61053,"Mount Carroll","Carroll County",2590
62822,"Christopher","Franklin County",2581
60157,"Medinah","DuPage County",2577
60184,"Wayne","DuPage County",2557
61238,"Cambridge","Henry County",2549
61726,"Chenoa","McLean County",2546
61756,"Maroa","Macon County",2542
61281,"Sherrard","Mercer County",2520
60043,"Kenilworth","Cook County",2503
62424,"Dieterich","Effingham County",2500
60145,"Kingston","DeKalb County",2464
61734,"Delavan","Tazewell County",2443
61533,"Glasford","Peoria County",2441
62092,"White Hall","Greene County",2431
61561,"Roanoke","Woodford County",2393
62890,"Thompsonville","Franklin County",2377
60146,"Kirkland","DeKalb County",2369
62237,"Coulterville","Perry County",2367
62691,"Virginia","Cass County",2349
62468,"Toledo","Cumberland County",2344
61817,"Catlin","Vermilion County",2328
62501,"Argenta","Macon County",2324
61024,"Durand","Winnebago County",2318
62917,"Carrier Mills","Saline County",2303
60927,"Clifton","Iroquois County",2300
62870,"Odin","Marion County",2281
61924,"Chrisman","Edgar County",2274
62082,"Roodhouse","Greene County",2265
61012,"Capron","Boone County",2264
62326,"Colchester","McDonough County",2236
61491,"Wyoming","Stark County",2230
61760,"Minonk","Woodford County",2226
62067,"Moro","Madison County",2203
61030,"Forreston","Ogle County",2194
62087,"South Roxana","Madison County",2181
62935,"Galatia","Saline County",2178
62458,"Saint Elmo","Fayette County",2176
61744,"Gridley","McLean County",2157
60424,"Gardner","Grundy County",2153
62677,"Pleasant Plains","Sangamon County",2149
60556,"Waterman","DeKalb County",2138
61373,"Utica","LaSalle County",2123
62958,"Makanda","Jackson County",2103
61732,"Danvers","McLean County",2099
62548,"Mount Pulaski","Logan County",2090
60922,"Chebanse","Kankakee County",2088
60511,"Big Rock","Kane County",2081
60953,"Milford","Iroquois County",2075
62882,"Sandoval","Marion County",2057
62451,"Palestine","Crawford County",2055
62257,"Marissa","St. Clair County",2046
61813,"Bement","Piatt County",2043
62865,"Mulkeytown","Franklin County",2037
60938,"Gilman","Iroquois County",2035
60034,"Hebron","McHenry County",2033
62899,"Xenia","Clay County",2022
62218,"Bartelso","Clinton County",2018
61427,"Cuba","Fulton County",2014
62907,"Ava","Jackson County",2013
61723,"Atlanta","Logan County",2005
62692,"Waverly","Morgan County",2005
61864,"Philo","Champaign County",2003
62926,"Dongola","Union County",1998
62910,"Brookport","Massac County",1993
62347,"Liberty","Adams County",1977
62898,"Woodlawn","Jefferson County",1968
62262,"Mulberry Grove","Bond County",1967
61849,"Homer","Champaign County",1961
62895,"Wayne City","Wayne County",1960
60955,"Onarga","Iroquois County",1953
61326,"Granville","Putnam County",1953
60476,"Thornton","Cook County",1940
62844,"Grayville","White County",1937
61843,"Fisher","Champaign County",1934
62312,"Barry","Pike County",1931
62351,"Mendon","Adams County",1928
61256,"Hampton","Rock Island County",1926
62215,"Albers","Clinton County",1917
60444,"Mazon","Grundy County",1901
61376,"Walnut","Bureau County",1894
62849,"Iuka","Marion County",1887
60531,"Leland","LaSalle County",1885
62271,"Okawville","Washington County",1873
62001,"Alhambra","Madison County",1869
62245,"Germantown","Clinton County",1861
62379,"Warsaw","Hancock County",1854
62044,"Greenfield","Greene County",1852
62888,"Tamaroa","Perry County",1843
61062,"Pearl City","Stephenson County",1840
62554,"Oreana","Macon County",1832
60180,"Union","McHenry County",1831
62854,"Kinmundy","Marion County",1827
62823,"Cisne","Wayne County",1823
61469,"Oquawka","Henderson County",1818
62531,"Edinburg","Christian County",1816
62037,"Grafton","Jersey County",1814
60407,"Braceville","Grundy County",1812
61450,"La Harpe","Hancock County",1812
62418,"Brownstown","Fayette County",1809
61483,"Toulon","Stark County",1801
62828,"Dahlgren","Hamilton County",1801
62846,"Ina","Jefferson County",1798
62240,"East Carondelet","St. Clair County",1796
62414,"Beecher City","Fayette County",1783
61937,"Lovington","Moultrie County",1782
61914,"Bethany","Moultrie County",1771
62914,"Cairo","Alexander County",1765
61535,"Groveland","Tazewell County",1748
60150,"Malta","DeKalb County",1738
62427,"Flat Rock","Crawford County",1730
62983,"Royalton","Franklin County",1728
61534,"Green Valley","Tazewell County",1725
62987,"Stonefort","Pope County",1724
62009,"Benld","Macoupin County",1723
61957,"Windsor","Shelby County",1707
60958,"Pembroke Township","Kankakee County",1698
60913,"Bonfield","Kankakee County",1683
61028,"Elizabeth","Jo Daviess County",1683
62510,"Assumption","Christian County",1677
62693,"Williamsville","Sangamon County",1677
62340,"Griggsville","Pike County",1673
62685,"Shipman","Macoupin County",1670
62544,"Macon","Macon County",1668
62814,"Bluford","Jefferson County",1668
60948,"Loda","Iroquois County",1660
62242,"Evansville","Randolph County",1660
61833,"Tilton","Vermilion County",1658
62520,"Dawson","Sangamon County",1652
62084,"Roxana","Madison County",1631
60941,"Herscher","Kankakee County",1627
61402,"Galesburg","Knox County",1623
61047,"Leaf River","Ogle County",1622
62443,"Mason","Effingham County",1609
62360,"Payson","Adams County",1605
62808,"Ashley","Washington County",1602
61369,"Toluca","Marshall County",1594
61087,"Warren","Jo Daviess County",1588
60924,"Cissna Park","Iroquois County",1565
61818,"Cerro Gordo","Piatt County",1560
62530,"Divernon","Sangamon County",1558
61060,"Orangeville","Stephenson County",1554
